mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score
93.68398773670197,0.4265691041946411,14.326078057289124,0.10752260684967041,300,2,2,log2,15,"{'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 15}",-0.21394423345590802,-0.21530167800873637,-0.2146229557323222,0.0006787222764141759,4
148.57427501678467,0.3169121742248535,15.963739275932312,0.5227710008621216,300,5,2,log2,15,"{'n_estimators': 300, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 15}",-0.21394423345590802,-0.21530167800873637,-0.2146229557323222,0.0006787222764141759,4
21.55917990207672,0.31927454471588135,3.0876877307891846,0.000125885009765625,200,5,1,sqrt,10,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 10}",-0.20886530455169688,-0.20885118424173943,-0.20885824439671816,7.060154978727473e-06,1
197.83978760242462,1.0008362531661987,8.449633240699768,0.039608120918273926,200,2,2,sqrt,20,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 20}",-0.2231541319973744,-0.21802808660425663,-0.22059110930081552,0.002563022696558892,7
94.63766014575958,0.17588794231414795,8.430319905281067,0.16683876514434814,300,2,1,sqrt,15,"{'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 15}",-0.21394423345590802,-0.21530167800873637,-0.2146229557323222,0.0006787222764141759,4
193.7787857055664,2.704101085662842,5.319086074829102,0.026799440383911133,200,5,1,log2,20,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 20}",-0.2231541319973744,-0.21802808660425663,-0.22059110930081552,0.002563022696558892,7
207.30605816841125,1.6274042129516602,4.568270921707153,0.08376789093017578,200,2,1,sqrt,25,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 25}",-0.2498396486310978,-0.22688573699995523,-0.23836269281552652,0.011476955815571288,9
17.983652591705322,0.05925726890563965,2.3753784894943237,0.08360874652862549,200,5,2,sqrt,10,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 10}",-0.20886530455169688,-0.20885118424173943,-0.20885824439671816,7.060154978727473e-06,1
72.82510232925415,1.6234729290008545,5.611017346382141,0.08582985401153564,200,5,1,log2,15,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 15}",-0.21367387370538585,-0.21506841960382544,-0.21437114665460566,0.0006972729492197988,3
204.6662573814392,1.941199541091919,4.36078155040741,0.2409135103225708,300,5,2,sqrt,30,"{'n_estimators': 300, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 30}",-0.25926130136355685,-0.22907092958895184,-0.24416611547625433,0.015095185887302506,10
